ZONE_ID, ZONE_NAME, ZONE_LAT, ZONE_LON
0001,Trento,46.07077,11.11845
0935,Gardolo,46.10855,11.10874
0937,Zona Ind. Spini/Lamar,46.12162,11.09006
0940,Zambana,46.15118,11.09658
0944,Sorni,46.17382,11.12052
0945,Maso San Valentino,46.15925,11.0981
0946,Nave S.Felice,46.16459,11.11225
0947,Nave S.Rocco,46.16634,11.10978
0948,Masetto,46.17122,11.10534
0949,Maso Inon,46.17771,11.10555
0950,Maso Tabarelli,46.18268,11.10563
0951,Ponte Rupe,46.19588,11.10144
0956,Molveno,46.14241,10.96375
0957,Madonna Di Campiglio,46.23193,10.82613
0958,Campo Carlomagno,46.24296,10.84001
0960,Riva Del Garda,45.89227,10.84488
0961,S.Martino Di Castrozza,46.26214,11.80427
0980,Brescia,45.53296,10.21457
1001,Torchio/Seregnano,46.09139,11.19833
1010,Lavis,46.13835,11.10913
1020,Cadino,46.21739,11.1534
1030,Salorno / Salurn (Solo Bus),46.24059,11.2081
1040,Laghetti - Laag,46.27194,11.23896
1050,Egna / Neumarkt (Solo Bus),46.31596,11.27244
1058,Passo S.Lugano/Fontanefredde,46.31155,11.394
1060,Castello Di Fiemme/Aguai,46.281,11.43481
1070,Cavalese,46.2879,11.46322
1071,Mosana,46.15439,11.13722
1072,Verla,46.15704,11.15252
1073,Valternigo,46.16078,11.15878
1074,Ville Di Giovo,46.16577,11.15733
1075,Palu' Di Giovo,46.1582,11.14039
1076,Ceola Di Giovo,46.15966,11.17144
1077,Lisignago,46.16015,11.18769
1078,Cembra,46.17494,11.2217
1079,Faver,46.1817,11.23778
1080,Valda,46.20677,11.26645
1081,Grumes,46.22165,11.29392
1082,Grauno,46.2294,11.29823
1084,Capriana,46.26278,11.33944
1085,Carbonare - Rover,46.26674,11.35173
1088,Molina/Stram. Bv,46.27293,11.41768
1098,Barbaniga,46.10172,11.18633
1100,Civezzano/Mochena/Sille,46.09186,11.18316
1103,Rovere' /Bampi Bv,46.09044,11.19323
1105,S.Agnese/Penedallo,46.10634,11.18363
1106,Bosco Di Civezzano,46.11105,11.17098
1110,Valle Fornace,46.11185,11.21035
1111,Fornace,46.11805,11.2081
1112,Albiano/Lases,46.1446,11.21916
1114,Lona,46.16038,11.23479
1115,Sevignano/Piazzo,46.17077,11.2471
1118,Scancio Di Segonzano,46.18745,11.25836
1120,Gaggio/Gresta Bivio,46.20778,11.2868
1121,Valcava,46.20627,11.31195
1122,Sover,46.22388,11.3124
1123,Facendi/Piazzoli,46.2149,11.32141
1126,Piscine,46.2399,11.3247
1127,Casatta Di Valfloriana,46.25037,11.34452
1128,Barcatta,46.25041,11.34964
